	7.07	8.52672505	
	7.78	3.64849219	
	8.49	1.33072476	
	9.19	0.86680355	
	9.90	0.99083808	
	10.61	0.30609940	
	11.31	2.18713834	
	12.02	-1.27808121	
	12.73	-1.57351952	
	13.43	-0.81983825	
	14.14	-3.14575515	
	14.85	-4.59840844	
	15.56	-5.30074503	
	16.26	-1.43917454	
	16.97	-0.37812170	
	17.68	-4.13681284	
	18.38	-4.76373987	
	19.09	-0.91900174	
	19.80	-4.02226236	
	20.51	-6.18912919	
	21.21	-7.78112396	
	21.92	-5.59148294	
	22.63	-5.03329851	
Detector ID	Negative Diagonal Position(cm)	Set 1
	-22.63	-5.75757247	
	-21.92	1.01202880	
	-21.21	-6.06638196	
	-20.51	-4.14986155	
	-19.80	-8.77170348	
	-19.09	-6.03262564	
	-18.38	-10.76584821	
	-17.68	-8.57403049	
	-16.97	-3.55784397	
	-16.26	-6.21279277	
	-15.56	-4.44131858	
	-14.85	-5.67659701	
	-14.14	10.24710527	
	-13.43	-4.15308775	
	-12.73	4.67571208	
	-12.02	-5.95397016	
	-11.31	-3.99905233	
	-10.61	3.76256399	
	-9.90	-3.14841970	
	-9.19	8.57171086	
	-8.49	22.70905908	
	-7.78	48.06208678	
	-7.07	70.95158057	
	-6.36	87.74149675	
	-5.66	93.83147117	
	-4.95	104.83774657	
	-4.24	102.57170557	
	-3.54	101.98696572	
	-2.83	106.74379189	
	-2.12	100.40517923	
	-1.41	100.27883902	
	0.00	100.00000000	
	1.41	100.39678863	
	2.12	100.21496382	
	2.83	114.21839851	
	3.54	99.30837797	
	4.24	87.81074486	
	4.95	77.95453988	
	5.66	53.90484824	
	6.36	29.62119079	
	7.07	14.73155254	
	7.78	9.37721762	
	8.49	2.77217660	
	9.19	-1.01200722	
	9.90	1.62120512	
	10.61	0.59187923	
	11.31	-2.58492130	
	12.02	-4.80681810	
	12.73	-5.45432641	
	13.43	-1.41469456	
	14.14	2.60510545	
	14.85	-2.42291782	
	15.56	-2.08115089	
	16.26	-1.35626773	
	16.97	-5.63394493	
	17.68	-5.85119334	
	18.38	-2.27219622	
	19.09	-0.50259938	
	19.80	-1.70272658	
	20.51	-1.32954431	
	21.21	-1.99327706	
	21.92	-0.43761670	
	22.63	0.77523497	
